"osm_id,C,11","name,C,48","type,C,16","population,N,10,0","Latitude,N,19,11","Longitude,N,19,11"
813334049,Durgapur,city,100000,23.5350475,87.3380425
877257867,Sikar,city,237500,27.6091864,75.1395503
969754622,Ulhasnagar,city,506937,19.2227363,73.1657782
982143511,Karnal,city,286974,29.6803266,76.9896254
1051669585,Bhubaneswar,city,100000,20.2603328,85.8393432
1119862973,Jalgaon,city,450000,20.9968453,75.5683795
1142115019,Patiala,city,100000,30.3295605,76.4127819
1143706658,Kaithal,city,144915,29.7996588,76.3989903
1152544900,Jhansi,city,500000,25.4502464,78.5800085
1180652177,Kanpur,city,2767031,26.4610238,80.3221409
1185686412,Nanded-Waghala,city,100000,19.169335,77.311013
1207423361,Moradabad,city,500000,28.8334982,78.7732864
1211180500,Haridw?�r,city,100000,29.9335383,78.1372197
1254628537,Madurai,city,922913,9.9261153,78.1140983
1313338377,Katihar,city,100000,25.5433817,87.5690417
1323546932,Rourkela,city,483629,22.2309255,84.8678705
1383610129,Firozpur,city,110091,30.9611784,74.6092483
1393852189,Rajkot,city,100000,22.304587,70.8020983
1395398115,Bhiwani,city,169424,28.7931703,76.1391283
1396981980,Bathinda,city,285813,30.2081076,74.9485371
1397139972,Rohtak,city,373133,28.9010899,76.5801935
1405754324,Bikaner,city,647804,28.0159286,73.3171367
1494011692,Alwar,city,315300,27.5646074,76.6131216
1509645496,Shivpuri,city,50000,25.4235256,77.6551422
1540868277,Gandhidham,city,166388,23.0718743,70.131715
1600720972,Kalyan-Dombivili,city,1000000,19.2334875,73.1182464
1600720976,Vasai-Virar,city,1221000,19.4258788,72.8224901
1600756253,Durg,city,100000,21.1897285,81.2746469
1672312676,Singrauli,city,220295,24.1976625,82.6659722
1681977815,Sri Ganganagar,city,244800,29.9270556,73.8761519
1880441437,Vijayawada,city,1048240,16.5087586,80.6185102
2022807192,Vadodara,city,500000,22.297076,73.1957373
2058906658,Sagar,city,300000,23.8417793,78.7466817
2141899772,Bulandshahr,city,100000,28.4056515,77.8542516
2278426212,Ernakulam,city,612343,9.9883805,76.2863444
2337842536,Jamnagar,city,100000,22.4732415,70.0552244
2408119848,Rajahmundry,city,100000,17.0050454,81.7804732
2409551371,Udaipur,city,452000,24.5787228,73.6862551
2476343447,Kadapa,city,100000,14.4656116,78.8164075
2483558902,Raj Nandgaon,city,50000,21.0964906,81.0301874
2510123017,Ranchi,city,1074000,23.3664637,85.3205029
2516759396,Dhanbad,city,500000,23.7952809,86.4309638
2521085873,Ghaziabad,city,500000,28.6711527,77.4120356
2548066557,Marg?�o,city,106528,15.2726267,73.958224
2846237708,Surat,city,500000,21.1864607,72.8081281
2885001475,Warangal,city,620000,17.9899747,79.6043994
